url,inlink_count,source_type_count,source_types,sample_sources,status
https://senseisandy.com/videos/friday-tannersville-kids-bjj-qf48JtbhJug,1,1,video-related,videos/4pm-kid-takedowns-in-tannersville-IsRHsAKxmCo.html,fail
https://senseisandy.com/videos/friday-tannersville-kids-bjj-qf48jtbhjug,10,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/4pm-kid-takedowns-in-tannersville-isrhsakxmco.html|videos/4pm-kid-takedowns-tannersville-isrhsakxmco.html|videos/index.html|videos/kids.html,pass
https://senseisandy.com/videos/friday-ticb1n-nmgc,2,1,video-related,videos/6-pm-bjj-class-preview-session-2-lqtzpvkiw7y.html|videos/wednesday-gfcbyyhrou4.html,fail
https://senseisandy.com/videos/front-headlock-escapes-spinning-turtle-rear-body-lock-escapes-50-50-safety-drills-bjj-class-s7jVPeRXqrg,9,1,video-related,videos/5pm-teens-Jmr7M3E5CoM.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-shoulder-pressure-escape-PAodMOpIVNk.html|videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-mount-escape-crackdown-crucifix-ecxeL1PO6UE.html|videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-finish-bjj-class-games-Ioek3l5oqhY.html|videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-get-ups-loop-choke-finish-zmmVEl-pf2U.html,fail
https://senseisandy.com/videos/front-headlock-escapes-spinning-turtle-rear-body-lock-s7jvperxqrg,25,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/5pm-teens-jmr7m3e5com.html|videos/adults.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-paodmopivnk.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-paodmopivnk.html,pass
https://senseisandy.com/videos/games-loRFy-ndeNk,1,1,video-related,videos/rear-bear-hug-rear-body-lock-defense-seatbelt-back-control-grip-breaks-sparring-rules-WsWXnsiAvUU.html,fail
https://senseisandy.com/videos/games-lorfy-ndenk,2,1,video-related,videos/6-pm-bjj-class-preview-session-2-lqtzpvkiw7y.html|videos/rear-bear-hug-rear-body-lock-defense-seatbelt-back-control-wswxnsiavuu.html,fail
https://senseisandy.com/videos/gi-brazilian-jiu-jitsu-thursday-teens-and-adults-AzptM1ssKTA,0,0,,,fail
https://senseisandy.com/videos/hair-grab-self-defense-duck-and-hug-takedown-mount-escape-db1lfepopv4,2,1,video-related,videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-cxcaeoxc1e4.html|videos/single-leg-takedown-mount-escape-kimura-from-back-control-oqcvatfqorc.html,fail
https://senseisandy.com/videos/hair-grab-self-defense-duck-and-hug-takedown-mount-escape-youth-adult-bjj-class-db1LFEPOPv4,2,1,video-related,videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-mount-escape-shin-ride-crackdown-CxcAeOXc1E4.html|videos/single-leg-takedown-mount-escape-kimura-from-back-control-youth-adult-bjj-class-OQcvaTFQoRc.html,fail
https://senseisandy.com/videos/hair-grab-self-defense-duck-hug-takedown-mount-db1lfepopv4,13,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-roll-cxcaeoxc1e4.html|videos/escapes.html|videos/index.html,pass
https://senseisandy.com/videos/high-elbow-guillotine-front-headlock-control-bjj-class-games-sparring-deep-dive-N0S6-u9KmHg,2,1,video-related,videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-shoulder-pressure-escape-PAodMOpIVNk.html|videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-bjj-class-breakdown-P8UneaZvoWk.html,fail
https://senseisandy.com/videos/high-elbow-guillotine-front-headlock-control-bjj-class-n0s6-u9kmhg,12,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-paodmopivnk.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-paodmopivnk.html|videos/index.html,pass
https://senseisandy.com/videos/hip-bump-sweep-cross-collar-choke-mount-detail-feorkwvxnre,22,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/25-2025-mzi3kdzmau8.html|videos/adults.html|videos/angle-b-cows-sharks-bears-oh-my-tannersville-tiparvz3974.html|videos/bjj-pressure-concepts-paint-brush-elbow-chest-compression-kcbwc0djxp4.html,pass
https://senseisandy.com/videos/hip-bump-sweep-cross-collar-choke-mount-detail-spiderweb-armbar-bjj-class-breakdown-FeorkwVXnrE,19,1,video-related,videos/25-for-2025-MZI3kDzmaU8.html|videos/4pm-class-5wXyFR6f2yc.html|videos/6pm-adults-NS5gBmsJW9I.html|videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-brazilian-jiu-jitsu-class-TIparvZ3974.html|videos/bjj-pressure-concepts-paint-brush-elbow-chest-compression-north-south-control-kcbwC0dJXP4.html,fail
