url,intended_source,local_file_present,reachable_from_home,incoming_internal_links,sample_sources,status
https://senseisandy.com/bjj-glossary/guard-recovery,local+self_sitemap,yes,yes,16,/bjj-glossary|/bjj-glossary/back-defense|/bjj-glossary/crossface-defense|/bjj-glossary/elbow-knee-escape|/bjj-glossary/escape|/bjj-glossary/frame-recovery,pass
https://senseisandy.com/bjj-glossary/guard-retention,local+self_sitemap,yes,yes,8,/bjj-glossary|/bjj-glossary/de-la-riva|/bjj-glossary/drilling|/bjj-glossary/quarter-guard|/bjj-glossary/re-guard|/bjj-glossary/reverse-de-la-riva,pass
https://senseisandy.com/bjj-glossary/guillotine,local+self_sitemap,yes,yes,4,/bjj-glossary|/bjj-glossary/back-control|/bjj-glossary/no-gi|/bjj-glossary/rear-naked-choke,pass
https://senseisandy.com/bjj-glossary/half-guard,local+self_sitemap,yes,yes,10,/bjj-glossary|/bjj-glossary/crossface|/bjj-glossary/crossface-defense|/bjj-glossary/elbow-knee-escape|/bjj-glossary/guard|/bjj-glossary/knee-cut,pass
https://senseisandy.com/bjj-glossary/hand-fighting,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/inside-tie,pass
https://senseisandy.com/bjj-glossary/head-line,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/head-position,local+self_sitemap,yes,yes,23,/bjj-glossary|/bjj-glossary/ankle-pick|/bjj-glossary/body-lock|/bjj-glossary/collar-tie|/bjj-glossary/crossface-defense|/bjj-glossary/crossface-pressure,pass
https://senseisandy.com/bjj-glossary/heavy-hips,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/body-lock-pass,pass
https://senseisandy.com/bjj-glossary/hip-escape,local+self_sitemap,yes,yes,14,/bjj-glossary|/bjj-glossary/elbow-knee-escape|/bjj-glossary/escape|/bjj-glossary/frame|/bjj-glossary/frame-recovery|/bjj-glossary/guard-recovery,pass
https://senseisandy.com/bjj-glossary/hip-heist,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/hooks,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/chest-to-back,pass
https://senseisandy.com/bjj-glossary/inside-position,local+self_sitemap,yes,yes,11,/bjj-glossary|/bjj-glossary/ankle-lock|/bjj-glossary/arm-drag|/bjj-glossary/body-lock|/bjj-glossary/butterfly-hook|/bjj-glossary/butterfly-sweep,pass
https://senseisandy.com/bjj-glossary/inside-tie,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/clinch|/bjj-glossary/inside-trip,pass
https://senseisandy.com/bjj-glossary/inside-trip,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/off-balance|/bjj-glossary/outside-trip,pass
https://senseisandy.com/bjj-glossary/inversion,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/granby-roll|/bjj-glossary/reverse-de-la-riva,pass
https://senseisandy.com/bjj-glossary/jiu-jitsu,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/k-guard,local+self_sitemap,yes,yes,4,/bjj-glossary|/bjj-glossary/de-la-riva|/bjj-glossary/reverse-de-la-riva|/bjj-glossary/waiter-sweep,pass
https://senseisandy.com/bjj-glossary/kimura,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/submission,pass
https://senseisandy.com/bjj-glossary/knee-cut,local+self_sitemap,yes,yes,6,/bjj-glossary|/bjj-glossary/guard-pass|/bjj-glossary/knee-slide|/bjj-glossary/open-guard-pass|/bjj-glossary/quarter-guard|/bjj-glossary/torreando,pass
https://senseisandy.com/bjj-glossary/knee-line,local+self_sitemap,yes,yes,4,/bjj-glossary|/bjj-glossary/ankle-lock|/bjj-glossary/leg-entanglement|/bjj-glossary/x-guard,pass
https://senseisandy.com/bjj-glossary/knee-shield,local+self_sitemap,yes,yes,4,/bjj-glossary|/bjj-glossary/frames|/bjj-glossary/z-guard|/frames,pass
https://senseisandy.com/bjj-glossary/knee-slide,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/lapel-grip,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/posture-break,pass
